fips,date,PRECTOT,PS,QV2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,score
5055,2007-04-21,0.0,100.68,8.45,16.58,11.45,11.45,24.86,7.72,17.15,16.68,2.38,3.41,1.27,2.14,4.52,8.29,1.67,6.61,
51079,2002-01-19,11.99,98.95,3.04,-1.1,-3.23,-3.2,0.1,-2.13,2.23,-1.43,1.38,2.76,0.15,2.61,2.6,4.48,0.25,4.23,
47137,2007-08-10,0.0,97.68,14.41,29.03,19.18,19.18,35.59,23.13,12.46,29.59,2.39,3.01,1.58,1.43,4.55,6.07,3.41,2.66,
12131,2012-03-08,0.21,101.81,11.48,17.91,16.3,16.3,23.65,12.56,11.09,17.89,3.53,5.14,2.14,3.0,6.0,7.15,4.84,2.31,
1073,2000-07-10,0.6,99.29,15.23,30.89,20.43,20.44,37.69,24.71,12.98,31.05,1.64,2.38,1.29,1.09,3.59,4.8,2.19,2.61,
39079,2015-10-20,0.0,99.42,4.71,12.44,2.8,2.83,22.57,6.23,16.35,12.28,2.64,3.54,2.13,1.41,5.09,6.03,3.46,2.56,0.0015
48469,2009-07-05,0.02,100.91,17.07,31.2,22.47,22.47,37.77,27.09,10.68,32.93,6.9,7.66,5.67,1.99,8.55,9.2,7.87,1.33,
36081,2014-11-22,0.02,102.32,2.81,1.62,-4.07,-3.97,5.01,-2.02,7.04,3.8,5.31,7.07,2.91,4.16,7.32,9.67,4.3,5.36,
1029,2006-03-28,1.1,99.02,7.57,11.32,9.5,9.5,16.66,7.76,8.91,11.33,2.22,3.16,1.53,1.63,4.8,5.55,3.73,1.83,0.0
39157,2014-01-27,1.11,97.53,1.6,-8.95,-12.99,-12.55,1.69,-16.53,18.22,-8.95,5.28,7.63,4.47,3.16,8.53,12.1,6.97,5.13,
1049,2016-05-04,3.34,97.64,8.13,14.55,10.41,10.41,20.14,9.14,11.0,14.83,2.37,3.45,1.55,1.9,4.67,6.38,3.16,3.22,
35025,2012-08-09,0.08,89.29,8.28,29.79,8.98,8.98,37.63,22.97,14.66,31.58,3.39,5.98,0.57,5.41,4.93,7.32,0.81,6.51,
39135,2005-10-04,0.0,98.87,10.52,20.36,14.56,14.57,27.45,15.0,12.45,19.91,2.46,3.13,1.62,1.52,4.07,6.14,1.77,4.36,0.0
6041,2008-03-06,0.62,100.65,5.69,9.89,5.55,5.56,13.44,6.04,7.4,8.38,1.89,3.25,0.87,2.38,2.56,4.45,1.14,3.31,
37147,2006-09-23,0.0,101.48,15.76,23.48,21.35,21.35,27.91,18.34,9.56,23.27,4.9,7.11,2.8,4.32,7.76,9.51,5.94,3.57,
30013,2003-10-20,0.1,86.85,5.92,14.6,4.14,4.15,23.29,8.29,15.0,13.87,4.36,7.44,2.26,5.17,7.64,10.68,4.07,6.61,
21021,2014-05-07,0.0,98.29,12.25,21.0,16.84,16.84,26.56,15.53,11.03,20.71,3.81,5.18,2.87,2.31,7.05,8.17,5.63,2.54,
39161,2002-04-26,0.02,99.32,4.31,7.5,1.59,1.61,14.06,1.27,12.79,8.37,3.43,4.54,2.37,2.17,5.4,7.55,2.76,4.79,
48479,2001-12-27,0.0,99.54,5.78,10.32,5.4,5.41,19.87,1.98,17.89,9.87,3.76,6.97,2.14,4.83,5.97,8.52,3.39,5.13,
17087,2010-03-14,1.21,99.17,5.64,7.18,5.39,5.39,9.86,4.55,5.3,7.2,4.9,6.68,2.86,3.82,7.17,8.68,5.69,2.99,
39011,2000-03-13,0.37,99.28,3.23,2.06,-2.47,-2.42,7.3,-3.19,10.49,2.28,5.85,8.75,3.12,5.63,8.27,10.6,5.87,4.74,
40039,2007-02-03,0.0,96.04,2.22,-2.83,-7.44,-7.35,3.24,-7.62,10.85,-2.06,2.89,6.28,0.2,6.08,4.3,8.87,0.43,8.44,
48237,2004-08-01,0.01,97.81,16.64,28.68,21.65,21.65,35.24,22.12,13.12,29.59,2.55,3.79,0.48,3.31,4.4,7.92,0.61,7.31,
31113,2004-08-20,0.01,91.76,7.14,19.88,7.66,7.67,28.34,11.34,17.0,21.39,3.07,4.24,1.35,2.9,4.86,7.72,1.45,6.27,
21223,2015-07-06,0.01,98.96,13.73,23.17,18.49,18.49,28.75,16.86,11.89,22.46,1.89,2.75,0.62,2.13,3.47,6.11,0.88,5.23,
31031,2010-10-21,0.0,90.45,5.02,12.01,2.45,2.46,21.8,3.57,18.23,11.44,4.93,7.47,1.4,6.07,7.39,10.58,1.97,8.61,
13107,2002-02-09,0.2,101.51,6.23,10.42,6.76,6.76,18.15,2.33,15.82,9.33,3.22,4.65,0.87,3.78,4.96,8.38,1.2,7.18,
48419,2000-01-17,0.0,101.32,8.89,15.96,12.41,12.41,23.41,10.49,12.92,15.88,2.23,3.03,1.74,1.29,5.19,6.96,2.64,4.32,
48193,2012-04-02,0.01,95.99,12.9,21.71,17.29,17.29,27.12,16.56,10.56,21.92,6.05,7.82,3.69,4.13,8.46,9.98,5.73,4.25,
20029,2014-11-12,0.0,98.15,0.92,-5.58,-16.83,-15.66,-2.7,-7.68,4.98,-4.66,7.32,8.19,5.76,2.43,9.14,9.92,7.56,2.36,
27067,2004-05-21,7.25,97.17,7.76,14.19,9.55,9.56,18.68,10.29,8.38,14.95,6.07,8.26,4.27,3.99,7.78,10.22,5.93,4.29,
30011,2000-08-19,0.21,90.04,6.51,24.59,5.73,5.76,31.69,17.39,14.3,25.57,4.66,7.3,2.93,4.38,6.9,9.67,4.56,5.12,
22053,2003-10-11,0.12,100.93,15.16,23.41,20.66,20.66,28.06,19.5,8.56,23.87,3.12,3.41,2.65,0.76,4.97,6.56,3.74,2.82,
27001,2015-05-23,0.01,97.65,6.37,15.54,6.86,6.87,22.79,8.54,14.25,15.55,3.04,4.15,1.66,2.49,4.88,7.81,1.89,5.92,
54019,2002-03-02,11.89,96.51,3.91,2.62,-0.4,-0.38,4.71,-0.18,4.89,2.61,4.46,5.17,3.07,2.1,8.1,9.44,5.92,3.52,
31137,2012-12-22,0.01,93.45,2.31,-1.33,-7.32,-7.22,7.12,-6.52,13.63,-2.37,4.39,5.6,3.47,2.13,7.34,8.94,5.2,3.74,
21077,2000-08-18,26.18,98.79,13.3,22.29,18.05,18.05,26.75,16.07,10.69,22.35,2.6,3.82,1.52,2.3,4.95,6.15,3.75,2.4,
28107,2001-06-16,0.0,100.91,11.24,24.16,15.9,15.9,30.79,17.04,13.75,23.79,2.72,3.85,1.94,1.91,4.41,5.54,2.62,2.92,
50009,2005-01-31,0.14,97.15,1.34,-11.06,-13.35,-13.22,-4.44,-17.04,12.6,-16.16,1.22,1.96,0.39,1.57,1.76,3.11,0.48,2.63,
48465,2006-05-25,0.33,95.29,11.7,29.57,15.58,15.58,36.35,22.49,13.86,31.51,6.91,8.14,5.54,2.6,8.8,9.96,7.84,2.12,
36123,2004-01-16,0.33,98.02,1.21,-13.58,-14.24,-14.18,-10.6,-19.57,8.98,-13.15,6.71,7.56,4.47,3.09,10.15,11.29,6.93,4.37,
22005,2009-03-02,0.0,102.45,3.59,6.49,-0.56,-0.51,13.8,0.38,13.42,7.55,3.38,4.03,2.72,1.3,5.56,6.75,4.53,2.22,
48125,2007-07-12,3.79,93.59,14.9,27.76,19.16,19.16,33.47,21.67,11.8,28.56,3.96,7.05,1.68,5.37,5.86,8.57,3.3,5.26,
6113,2007-04-14,12.07,100.58,7.07,11.49,8.86,8.86,14.81,8.04,6.77,11.58,2.45,4.6,0.4,4.2,3.84,5.63,0.56,5.08,
13033,2009-06-30,0.0,99.22,10.96,27.39,15.2,15.2,35.6,19.53,16.07,28.28,3.23,5.04,2.0,3.04,5.53,7.03,2.4,4.62,0.0
5053,2006-07-01,0.0,100.84,11.83,29.7,16.62,16.62,38.15,21.53,16.62,29.9,2.2,2.82,1.47,1.35,4.01,5.13,2.21,2.91,
55057,2010-03-07,0.32,98.29,3.59,2.32,-1.12,-1.09,9.36,-1.73,11.1,1.44,2.43,3.38,1.25,2.13,3.65,5.7,1.52,4.17,
37133,2006-09-29,2.43,101.18,8.82,17.61,12.06,12.07,21.81,12.42,9.4,18.2,3.27,6.1,1.51,4.59,4.43,8.18,2.02,6.17,
21013,2014-11-15,0.0,97.62,2.14,-1.04,-7.76,-7.56,4.94,-5.56,10.5,-1.34,1.3,2.01,0.7,1.31,2.59,5.35,1.2,4.15,
13063,2003-02-25,0.68,98.82,5.46,7.47,4.73,4.74,13.92,3.54,10.38,7.45,2.34,3.87,0.93,2.95,4.05,5.75,1.02,4.73,0.0
20009,2008-05-07,1.59,93.89,10.05,15.8,12.86,12.86,19.0,9.5,9.5,15.73,4.98,8.29,1.6,6.69,7.39,10.23,3.2,7.03,
39091,2007-08-25,4.94,97.63,14.79,22.73,19.71,19.71,26.94,19.47,7.48,22.73,4.27,6.86,1.99,4.87,6.55,8.76,4.03,4.72,
26015,2014-06-24,11.41,98.2,14.35,21.12,19.32,19.32,23.95,18.31,5.64,20.85,1.8,3.61,0.56,3.05,2.67,4.49,0.94,3.55,0.0
48373,2000-10-09,0.04,102.41,3.5,9.5,-0.91,-0.83,14.19,6.8,7.39,9.76,1.95,2.81,1.47,1.34,4.09,4.97,3.07,1.89,
26111,2000-10-11,0.01,99.57,4.65,10.07,2.65,2.67,19.78,3.43,16.36,9.84,4.09,5.35,3.27,2.08,7.01,8.14,4.44,3.71,
28127,2004-08-02,0.15,100.05,16.95,27.44,22.31,22.31,34.08,22.2,11.88,27.43,1.51,2.32,1.05,1.27,3.65,5.03,1.67,3.36,
28059,2010-10-05,0.0,102.26,7.58,19.07,9.91,9.92,23.08,15.5,7.58,21.65,7.24,7.96,6.37,1.59,8.85,10.19,7.65,2.54,1.0
48031,2014-04-19,0.0,97.93,8.47,19.09,11.14,11.14,25.97,11.59,14.38,20.03,3.65,5.2,1.41,3.79,5.53,8.43,1.83,6.6,
56039,2000-10-01,5.64,76.04,6.37,7.0,3.26,3.26,12.01,1.53,10.48,6.99,3.83,7.09,1.57,5.52,7.2,11.98,3.24,8.74,
12085,2004-06-22,4.57,101.68,18.56,28.72,24.08,24.08,31.44,26.01,5.43,28.88,3.65,4.27,2.87,1.4,4.81,5.93,3.77,2.16,0.3597999999999999
30039,2013-08-25,0.88,80.8,7.45,17.52,6.31,6.31,26.28,8.94,17.34,17.46,2.14,3.02,1.15,1.87,4.3,5.45,2.76,2.69,
42113,2016-06-25,0.01,97.57,10.87,22.41,14.88,14.88,28.62,15.92,12.7,22.11,0.95,1.69,0.32,1.37,2.19,5.4,0.89,4.51,
29071,2007-03-13,0.37,98.67,10.45,16.07,14.37,14.37,22.61,10.1,12.5,16.03,2.65,3.81,1.9,1.9,5.51,6.32,2.59,3.73,0.0
20209,2007-08-24,13.35,97.67,16.29,23.2,21.24,21.24,25.09,20.03,5.06,23.18,2.66,7.42,0.42,7.01,3.76,10.87,0.44,10.43,
48309,2014-05-31,0.36,98.86,15.33,25.0,20.51,20.51,29.93,19.8,10.12,25.91,2.7,4.21,1.55,2.66,3.9,5.63,2.02,3.61,
51081,2012-01-20,3.93,101.22,3.96,3.0,0.7,0.71,7.63,-1.5,9.12,2.98,2.19,2.57,1.21,1.36,4.28,5.81,1.73,4.08,
45041,2015-09-14,0.0,101.69,6.92,19.42,8.57,8.58,27.3,11.99,15.31,20.07,2.52,4.17,0.8,3.37,4.1,7.05,0.85,6.2,
5139,2007-08-28,0.36,100.73,16.15,28.88,21.63,21.63,35.68,23.21,12.47,28.9,1.14,1.87,0.51,1.36,2.76,5.19,0.79,4.4,1.0
56007,2015-01-12,1.3,78.18,3.32,-3.68,-5.08,-5.07,0.7,-6.33,7.03,-4.05,3.22,4.62,1.44,3.19,4.96,6.8,2.42,4.37,
6023,2000-07-26,0.03,94.11,7.04,15.68,7.68,7.68,23.79,9.03,14.76,15.67,2.0,3.16,1.2,1.96,3.0,3.9,2.25,1.65,
35041,2011-09-23,0.0,87.73,6.6,20.8,5.59,5.61,30.77,10.71,20.07,21.57,2.31,3.94,0.24,3.7,3.83,7.19,0.35,6.84,
26079,2007-08-11,0.11,98.17,11.13,24.67,15.35,15.35,30.75,17.81,12.93,24.61,3.39,5.03,0.81,4.22,4.95,7.97,1.16,6.81,
46121,2005-03-18,1.05,92.14,2.41,-2.3,-6.98,-6.9,2.33,-6.03,8.36,-1.44,5.98,8.27,2.08,6.19,7.52,9.87,3.9,5.97,
20019,2000-10-03,0.35,96.99,10.52,25.6,14.29,14.29,35.1,17.34,17.76,25.87,6.99,9.88,3.91,5.97,10.08,12.56,6.92,5.64,3.0
51570,2007-04-15,52.78,98.81,9.43,13.97,12.33,12.33,19.67,6.19,13.47,13.87,4.88,6.62,2.67,3.95,8.38,11.44,4.87,6.57,
41067,2003-05-28,0.16,99.14,9.05,14.79,12.28,12.29,19.05,9.97,9.07,14.84,1.98,2.93,1.04,1.88,3.52,4.59,1.67,2.92,
48407,2016-03-30,1.76,99.91,15.15,21.55,20.49,20.49,23.85,19.31,4.54,21.48,3.56,4.44,2.82,1.62,6.68,7.56,5.75,1.81,
38059,2001-01-06,0.14,93.63,3.86,1.04,-0.72,-0.71,5.18,-1.29,6.47,0.23,7.6,10.51,5.5,5.01,10.66,15.03,8.11,6.91,
21031,2014-05-01,0.05,99.41,5.91,11.11,6.04,6.05,16.44,6.07,10.37,11.23,3.84,6.05,2.19,3.86,6.52,8.34,4.82,3.52,
38085,2003-10-01,0.06,95.21,2.88,7.28,-4.34,-4.21,15.24,0.47,14.77,8.01,2.15,5.07,0.26,4.81,3.46,8.86,0.27,8.59,
19173,2016-05-02,0.15,97.83,5.97,10.97,5.98,5.99,16.52,5.32,11.2,11.31,2.7,4.05,0.88,3.18,3.83,5.49,1.24,4.25,
46109,2005-12-21,0.06,97.44,1.77,-10.23,-10.88,-10.85,-1.03,-17.1,16.07,-10.9,4.17,8.09,2.47,5.62,6.47,11.17,2.69,8.48,
21003,2016-11-19,3.35,99.97,3.17,5.72,-2.93,-2.81,9.55,0.41,9.14,5.89,5.61,7.04,3.64,3.4,8.61,9.33,7.42,1.9,
28143,2014-04-19,0.0,101.29,9.04,18.02,12.63,12.63,24.71,10.8,13.91,17.3,2.47,3.68,0.37,3.31,3.53,5.41,0.53,4.88,
17075,2016-05-22,0.0,99.28,7.32,17.85,8.94,8.95,26.38,9.59,16.79,17.12,3.82,5.79,1.82,3.97,5.83,7.55,2.77,4.78,
20107,2014-03-17,0.0,97.67,2.61,1.0,-5.58,-5.48,9.46,-7.11,16.56,1.68,3.93,6.77,1.15,5.62,5.81,10.33,1.52,8.81,
35047,2012-11-07,0.0,83.47,2.7,14.03,-6.8,-6.56,24.73,6.2,18.53,13.12,4.27,6.98,1.95,5.03,6.71,10.02,2.87,7.15,
29229,2006-08-15,0.0,97.54,9.88,25.07,13.01,13.01,33.39,18.32,15.06,25.46,1.78,3.0,0.87,2.13,3.47,5.95,1.17,4.78,2.0
20035,2007-06-10,24.29,97.13,17.31,23.56,22.18,22.18,26.04,20.67,5.37,23.51,3.65,4.71,2.4,2.31,5.78,8.01,3.23,4.78,
45031,2015-09-08,2.23,101.06,16.56,25.83,22.11,22.11,29.96,22.25,7.72,26.22,2.31,2.96,1.5,1.46,3.87,5.24,1.7,3.54,2.1382
5035,2008-04-26,7.52,100.95,7.96,15.25,10.63,10.63,21.19,10.51,10.69,15.6,4.54,8.11,2.85,5.27,6.56,10.47,5.02,5.45,
38019,2005-01-19,1.01,97.24,0.75,-18.04,-18.91,-18.76,-16.08,-21.92,5.84,-18.1,3.98,5.15,2.83,2.31,5.68,8.68,4.23,4.45,
5037,2001-04-06,0.0,100.69,13.69,21.48,19.01,19.02,24.26,18.42,5.84,20.99,6.65,8.97,4.95,4.02,9.77,12.95,7.45,5.5,
13003,2005-03-01,0.0,100.74,4.58,8.13,2.47,2.5,14.14,1.41,12.72,8.17,5.25,8.8,2.97,5.84,8.33,12.17,5.01,7.15,0.0
28003,2012-01-02,0.0,101.3,2.71,0.1,-4.42,-4.34,4.46,-4.2,8.66,-0.08,4.43,6.74,2.79,3.94,7.7,10.06,5.52,4.53,
39151,2012-08-09,8.78,97.29,14.58,23.22,19.42,19.42,29.41,18.78,10.63,23.14,1.17,2.12,0.55,1.57,2.26,4.43,0.79,3.64,
13279,2003-10-15,0.0,100.82,5.92,16.96,6.28,6.29,24.38,10.76,13.62,17.2,4.03,6.28,2.39,3.89,6.15,9.61,4.11,5.5,
19107,2009-01-22,0.0,98.16,3.52,-1.04,-1.58,-1.58,6.64,-6.59,13.23,-2.0,3.52,4.64,2.23,2.4,6.16,8.47,3.49,4.98,
21221,2002-05-20,0.02,100.58,6.17,11.93,6.85,6.86,17.67,5.43,12.24,12.47,2.66,3.48,1.79,1.69,4.53,6.01,2.23,3.77,
8115,2009-09-06,0.0,88.91,10.11,21.03,12.34,12.34,29.36,12.51,16.85,22.02,5.52,6.54,4.2,2.35,7.64,9.65,6.2,3.45,
17037,2012-08-09,5.05,98.46,12.12,21.21,16.72,16.72,26.64,15.74,10.9,21.97,3.46,6.29,0.77,5.52,4.91,8.23,0.6,7.63,
48337,2003-09-26,0.02,97.62,12.78,24.74,17.41,17.41,31.77,18.68,13.09,25.44,3.25,4.93,2.14,2.79,5.14,6.56,3.95,2.62,
42049,2014-07-26,2.38,98.34,12.09,21.58,16.59,16.59,25.08,17.82,7.26,22.08,3.96,5.43,2.07,3.35,5.28,6.95,3.11,3.85,
45005,2014-09-01,0.71,101.39,17.67,28.56,23.2,23.2,34.05,24.24,9.81,28.8,1.29,2.08,0.68,1.4,2.57,4.64,0.86,3.78,
36087,2016-08-20,0.34,98.97,12.69,24.29,17.41,17.41,30.52,18.26,12.26,24.26,1.65,2.95,0.32,2.63,3.09,5.31,0.33,4.98,
19095,2008-09-09,0.0,99.1,6.38,12.1,7.11,7.12,19.18,5.03,14.15,12.31,2.54,3.26,1.7,1.56,4.43,7.33,1.88,5.46,0.0
32023,2001-12-14,1.45,81.23,2.58,-1.49,-7.76,-7.67,1.97,-4.96,6.93,-1.47,5.91,8.48,3.75,4.73,7.74,10.98,6.01,4.97,
13049,2011-03-14,0.0,101.86,7.49,15.27,9.89,9.89,24.26,7.66,16.59,15.21,1.7,1.96,0.92,1.04,3.67,5.15,1.16,3.99,
48469,2002-03-25,1.23,100.78,12.75,20.71,17.66,17.66,26.24,11.93,14.3,20.98,6.07,9.63,1.09,8.54,8.18,11.97,1.64,10.33,
19089,2012-07-02,0.05,97.16,13.21,29.84,17.86,17.86,36.87,22.33,14.54,30.32,4.24,6.38,2.72,3.66,6.84,8.44,3.25,5.19,
28031,2014-02-11,30.57,100.74,4.17,2.24,1.34,1.35,4.41,0.69,3.72,2.26,2.27,2.76,1.84,0.93,4.02,4.83,3.14,1.69,0.0
16069,2009-12-29,0.04,91.12,2.18,-6.57,-8.44,-8.4,0.75,-11.38,12.12,-7.59,2.1,2.76,0.94,1.83,3.24,4.68,1.37,3.3,0.9983
28113,2008-04-14,0.0,101.15,4.46,7.87,2.32,2.34,13.18,3.0,10.18,7.85,2.33,3.6,1.29,2.31,5.13,6.55,3.16,3.38,
36117,2006-10-16,0.01,100.51,5.02,9.55,3.72,3.73,14.54,4.71,9.82,10.29,2.86,4.01,0.85,3.16,4.18,5.94,1.16,4.78,
27143,2008-02-01,0.02,97.72,1.86,-8.94,-9.88,-9.85,-2.13,-15.11,12.98,-9.04,5.45,8.14,4.13,4.0,7.58,9.82,6.07,3.75,
31019,2013-05-01,11.66,94.47,4.0,3.48,-0.16,-0.14,6.03,0.82,5.21,4.33,10.55,12.19,7.44,4.75,13.07,14.92,9.9,5.02,
48481,2000-06-01,2.17,101.24,15.43,27.72,20.99,20.99,33.52,23.2,10.32,28.68,4.18,6.09,2.53,3.56,6.35,7.38,4.91,2.47,
22081,2013-04-18,23.93,100.11,12.41,18.78,16.41,16.41,26.69,8.56,18.14,18.77,3.78,5.29,2.66,2.63,7.07,8.57,4.64,3.94,
56037,2006-08-29,0.1,78.96,5.23,18.7,0.97,1.0,27.62,9.26,18.36,19.51,4.13,6.54,1.95,4.59,5.9,7.51,3.41,4.1,2.7662
40125,2009-01-21,0.0,98.31,2.93,4.69,-3.76,-3.68,13.82,-2.4,16.22,3.33,4.1,6.24,1.11,5.13,5.82,9.55,1.52,8.03,
53073,2006-11-12,39.44,91.34,4.4,0.76,0.7,0.7,1.06,0.03,1.03,0.75,2.35,3.64,1.57,2.07,4.45,6.27,3.15,3.12,
37069,2013-02-15,0.01,100.52,4.56,6.29,2.47,2.48,15.37,-0.88,16.25,6.31,2.08,3.18,0.93,2.25,4.23,6.94,1.25,5.68,
39001,2016-09-15,0.09,98.97,11.32,22.11,15.74,15.74,28.61,16.96,11.65,22.17,1.3,1.92,0.76,1.16,2.77,4.81,1.01,3.8,
51141,2005-10-19,0.02,95.98,9.43,17.58,12.31,12.31,26.42,10.83,15.59,17.15,2.0,2.65,1.3,1.36,4.26,5.95,2.0,3.94,
34023,2002-07-10,5.6,100.96,11.8,24.14,16.18,16.18,29.08,18.62,10.45,24.32,2.3,5.27,0.84,4.43,3.76,7.01,1.84,5.18,
50025,2001-11-06,0.14,97.24,3.59,4.09,-1.26,-1.21,8.55,1.62,6.94,4.1,3.67,4.33,3.07,1.26,7.0,7.8,6.07,1.73,2.8663
19119,2013-01-24,0.11,97.74,0.59,-13.81,-21.8,-19.96,-10.03,-17.7,7.67,-13.07,6.36,8.56,3.7,4.86,7.62,10.06,4.23,5.83,
13037,2011-10-17,0.0,100.17,8.61,21.65,11.62,11.63,32.26,13.26,19.0,21.82,1.88,2.74,0.27,2.47,3.56,6.45,0.26,6.18,
45055,2015-12-31,5.94,100.71,12.64,18.24,17.63,17.63,20.56,14.16,6.41,18.11,2.27,2.96,1.31,1.65,4.12,5.74,2.55,3.19,
46059,2000-03-31,0.04,96.12,2.8,5.85,-4.66,-4.51,12.81,-0.82,13.63,5.84,5.5,8.84,1.16,7.68,7.31,10.39,1.59,8.8,
19167,2012-10-17,0.59,94.51,4.6,12.72,1.23,1.29,15.62,8.34,7.28,12.91,10.67,13.49,6.03,7.46,14.29,17.5,9.25,8.24,
28073,2016-04-16,0.12,100.77,11.26,18.6,15.91,15.91,23.49,14.42,9.06,18.6,2.32,2.8,1.8,1.0,4.65,5.15,3.97,1.18,
48049,2016-11-24,0.1,96.9,7.45,14.27,8.55,8.55,22.17,5.77,16.4,13.37,3.2,4.96,0.66,4.3,5.18,7.73,0.9,6.83,
48281,2011-05-26,0.0,97.05,7.75,24.29,9.63,9.63,33.86,15.16,18.7,26.33,3.08,5.52,0.05,5.47,5.21,8.87,0.28,8.59,
20071,2002-11-01,0.34,90.43,2.53,-2.93,-6.6,-6.55,0.27,-5.73,6.0,-1.52,3.12,4.75,1.7,3.04,3.76,5.81,1.77,4.04,
8067,2004-04-17,0.45,75.37,4.13,9.45,-2.76,-2.72,17.31,1.09,16.23,9.43,5.77,9.28,2.04,7.23,9.09,13.4,4.06,9.34,
13143,2009-11-29,0.15,98.37,6.03,9.07,6.06,6.07,15.62,3.85,11.77,8.71,1.65,2.14,1.1,1.05,3.83,5.84,1.81,4.04,
46035,2013-10-05,4.79,95.44,4.82,5.72,2.55,2.56,8.07,3.88,4.19,6.33,5.44,7.5,3.29,4.21,6.9,9.81,4.16,5.64,
38087,2006-05-03,0.03,91.97,3.68,5.59,-1.59,-1.55,11.31,1.1,10.21,6.65,9.57,12.62,4.94,7.68,12.27,15.34,7.89,7.45,
53019,2002-03-02,0.0,92.69,2.28,-3.8,-7.62,-7.55,3.34,-10.22,13.56,-4.72,1.88,2.39,1.26,1.12,2.98,3.88,2.0,1.88,
56015,2015-08-01,0.16,85.79,8.79,26.79,9.63,9.63,34.79,19.5,15.3,28.25,3.95,5.48,1.37,4.11,6.01,8.91,1.74,7.17,
17005,2006-05-27,0.0,99.26,16.1,24.56,21.31,21.31,29.34,19.71,9.63,24.16,3.86,5.56,1.46,4.11,5.95,8.9,2.43,6.47,
24045,2004-02-04,0.0,102.58,3.32,1.2,-1.54,-1.52,5.15,-1.75,6.9,0.66,5.04,7.06,3.9,3.15,7.98,9.08,6.74,2.34,
35047,2008-12-19,0.0,83.12,2.29,1.74,-8.92,-8.68,9.43,-3.62,13.05,1.24,6.91,9.22,4.87,4.34,10.06,12.35,7.59,4.76,
48257,2012-01-28,0.0,101.11,3.24,5.89,-2.16,-2.07,9.7,2.43,7.27,5.08,5.2,8.27,1.53,6.75,7.16,11.8,2.15,9.65,
13219,2005-04-03,0.0,99.37,5.87,11.46,5.9,5.9,18.2,5.64,12.56,11.54,3.1,3.96,1.87,2.1,6.47,7.26,5.24,2.02,
26119,2008-12-09,12.27,98.02,2.86,-3.48,-4.2,-4.19,-1.16,-7.59,6.43,-2.69,3.49,5.3,1.56,3.73,4.99,7.24,3.04,4.21,0.0
6109,2009-07-17,0.0,80.83,4.42,23.0,-1.2,-1.12,32.68,14.35,18.32,22.63,1.92,3.35,0.23,3.12,3.01,4.48,0.61,3.87,
21169,2011-08-13,3.51,98.44,14.52,25.14,19.42,19.42,31.19,19.91,11.28,25.36,2.4,2.97,1.64,1.33,4.34,5.69,2.68,3.0,
21135,2003-03-06,2.62,98.27,2.92,-1.71,-3.89,-3.86,1.93,-6.13,8.05,-1.7,2.69,4.06,1.73,2.33,4.48,5.94,3.63,2.31,
48213,2008-12-05,0.0,101.31,2.64,1.94,-4.65,-4.55,6.99,-1.94,8.93,1.71,2.92,4.55,1.5,3.05,4.51,7.41,2.17,5.23,
48133,2012-02-14,0.09,96.01,6.65,11.45,6.63,6.64,21.47,1.82,19.65,11.16,4.73,6.5,2.99,3.51,7.84,10.34,3.66,6.68,0.9813
